symbol,just_date,article_sentiment,event_impact_score_entity_1,overall_source_rank,volume,date,day,month,year,hour,minute
AAPL,2012-08-25,-0.04768159204,28.54726368,5.766169154,201,2012-08-25 9:45:00,25,8,2012,9,45
CSCO,2012-08-25,-0.29,20,5,1,2012-08-25 9:45:00,25,8,2012,9,45
EMC,2012-08-25,0.56,27,3,1,2012-08-25 9:45:00,25,8,2012,9,45
FB,2012-08-25,0.3524375,43,6.625,16,2012-08-25 9:45:00,25,8,2012,9,45
GOOG,2012-08-25,0.1516666667,19.33333333,6.333333333,3,2012-08-25 9:45:00,25,8,2012,9,45
HPQ,2012-08-25,-0.301,32.5,6.5,2,2012-08-25 9:45:00,25,8,2012,9,45
IBM,2012-08-25,0.404,20,9,1,2012-08-25 9:45:00,25,8,2012,9,45
INTC,2012-08-25,0.3725,21.5,3,2,2012-08-25 9:45:00,25,8,2012,9,45
MSFT,2012-08-25,0.1658,24.2,6,5,2012-08-25 9:45:00,25,8,2012,9,45
ADBE,2012-08-25,0.685,27,10,1,2012-08-25 9:45:00,25,8,2012,9,45
IBM,2012-08-26,0.3093333333,15,5,3,2012-08-26 9:45:00,26,8,2012,9,45
HPQ,2012-08-26,-0.312,35,8,1,2012-08-26 9:45:00,26,8,2012,9,45
FB,2012-08-26,-0.159,41.88888889,5.888888889,9,2012-08-26 9:45:00,26,8,2012,9,45
GOOG,2012-08-26,0.31,18.5,7.5,2,2012-08-26 9:45:00,26,8,2012,9,45
ORCL,2012-08-26,0.279,23,5,1,2012-08-26 9:45:00,26,8,2012,9,45
CTXS,2012-08-26,0.685,39,3,1,2012-08-26 9:45:00,26,8,2012,9,45
AAPL,2012-08-26,0.1468159509,28.50306748,6.012269939,163,2012-08-26 9:45:00,26,8,2012,9,45
INTC,2012-08-26,0.31,20,7,1,2012-08-26 9:45:00,26,8,2012,9,45
MSFT,2012-08-26,0.005904761905,23,6,21,2012-08-26 9:45:00,26,8,2012,9,45
CSCO,2012-08-26,0.435,25,3,1,2012-08-26 9:45:00,26,8,2012,9,45
MSFT,2012-08-27,-0.1078666667,23.26666667,6.133333333,15,2012-08-27 9:45:00,27,8,2012,9,45
HPQ,2012-08-27,0.568,33,5.666666667,3,2012-08-27 9:45:00,27,8,2012,9,45
RHI,2012-08-27,0.31,31,7,1,2012-08-27 9:45:00,27,8,2012,9,45
AAPL,2012-08-27,0.3864668874,28.08609272,5.850993377,302,2012-08-27 9:45:00,27,8,2012,9,45
INTC,2012-08-27,-0.31,27,6,2,2012-08-27 9:45:00,27,8,2012,9,45
ADBE,2012-08-27,0.0755,28.5,5,2,2012-08-27 9:45:00,27,8,2012,9,45
FB,2012-08-27,-0.03082352941,44.47058824,5.882352941,17,2012-08-27 9:45:00,27,8,2012,9,45
GOOG,2012-08-27,-0.06916666667,20.16666667,6.833333333,6,2012-08-27 9:45:00,27,8,2012,9,45
IBM,2012-08-27,0.31,18,5,1,2012-08-27 9:45:00,27,8,2012,9,45
ETN,2012-08-27,-0.29,22,6.5,2,2012-08-27 9:45:00,27,8,2012,9,45
AABA,2012-08-27,0.135,30.5,7.5,2,2012-08-27 9:45:00,27,8,2012,9,45
MSI,2012-08-28,-0.29,16,7,3,2012-08-28 9:45:00,28,8,2012,9,45
MSFT,2012-08-28,0.3223333333,23.44444444,5.888888889,9,2012-08-28 9:45:00,28,8,2012,9,45
XLNX,2012-08-28,0.56,21,4,2,2012-08-28 9:45:00,28,8,2012,9,45
AAPL,2012-08-28,-0.038,28.50416667,5.925,240,2012-08-28 9:45:00,28,8,2012,9,45
EMC,2012-08-28,0.5186666667,28,6,3,2012-08-28 9:45:00,28,8,2012,9,45
CSCO,2012-08-28,0.3316363636,20.6969697,4.666666667,33,2012-08-28 9:45:00,28,8,2012,9,45
ADSK,2012-08-28,-0.06066666667,41.33333333,4.333333333,3,2012-08-28 9:45:00,28,8,2012,9,45
GOOG,2012-08-28,-0.101559322,20.11864407,5.711864407,59,2012-08-28 9:45:00,28,8,2012,9,45
EA,2012-08-28,0.352,61,6,1,2012-08-28 9:45:00,28,8,2012,9,45
MU,2012-08-28,0.31,51,4,1,2012-08-28 9:45:00,28,8,2012,9,45
ETN,2012-08-28,0.3539565217,31.65217391,5.913043478,23,2012-08-28 9:45:00,28,8,2012,9,45
STX,2012-08-28,0.5048,43.4,5,5,2012-08-28 9:45:00,28,8,2012,9,45
IBM,2012-08-28,0.3731578947,14.89473684,5.657894737,38,2012-08-28 9:45:00,28,8,2012,9,45
FB,2012-08-28,0.0164,42.16666667,5.933333333,30,2012-08-28 9:45:00,28,8,2012,9,45
VRSN,2012-08-28,0.56,29,8,1,2012-08-28 9:45:00,28,8,2012,9,45
